Unnamed: 0;DraftId;formula_id;flagFC;flagEF;flagCKB;Amount;ActivityType;Education;Gender;LoanPurpose;MaritalStatus;MonthlyIncome;Post
0;3ac9e896-80a7-4d07-af43-a3b775b30739;55;1;1;0;6000.0;торговля;высшее;2;непредвиденные расходы;3.0;45000.0;начальник / руководитель
4;f76f3e80-946e-46df-9db6-795d112e63b4;54;1;1;0;6000.0;;среднее специальное;1;непредвиденные расходы;0.0;37000.0;
7;187b4bf8-f41c-4a6d-8e27-dc39bc449b90;55;1;1;0;5000.0;другое;среднее специальное;1;подарки;0.0;25000.0;служащий / специалист
20;6df8c019-7172-4733-bab1-51d2400e0ec5;55;1;1;0;6600.0;торговля;среднее;2;другое;1.0;25000.0;рабочий
23;d160dd00-075b-4e5a-a106-9704d3458261;55;1;1;0;6000.0;промышленность;среднее специальное;1;непредвиденные расходы;3.0;35000.0;служащий / специалист
24;ecdf6535-a563-4126-b81a-b075028e9646;55;1;1;0;5000.0;другое;среднее;1;покупка бытовой техники и электроники;0.0;300000.0;служащий / специалист
27;2380ec43-60f9-4579-969d-9abc08139da4;55;1;1;0;4000.0;другое;среднее;2;ремонт дома или автомобиля;4.0;25954.0;рабочий
28;5609ee16-befe-4237-8d7c-e93a69570b2e;55;1;1;0;4000.0;медицина;среднее специальное;2;ежедневные расходы;2.0;27000.0;заведующий отделением
33;c5a2b4a3-3b89-4cdb-af3d-4ad134df5c75;48;0;1;0;3000.0;промышленность;среднее специальное;1;подарки;1.0;40000.0;служащий / специалист
45;8fd068af-8343-439c-bb6c-d35dd40ea19f;55;1;1;0;5000.0;сервис и услуги;высшее;2;другое;0.0;30000.0;рабочий
46;8dfb2bdb-c4a5-4036-b844-975eeed670fc;55;1;1;0;6000.0;сервис и услуги;высшее;2;другое;0.0;30000.0;рабочий
47;5963f5ff-3d8b-499c-aafa-7aa9a0e6a98b;55;1;1;0;5000.0;сервис и услуги;высшее;2;другое;0.0;30000.0;рабочий
48;0ebf262a-d27f-4d88-bae8-1e09322fb12f;54;1;1;0;6500.0;торговля;среднее специальное;2;покупка бытовой техники и электроники;1.0;45000.0;начальник / руководитель
49;1a72d9db-bb24-4f27-aaf2-580ceb287b32;55;1;1;0;3000.0;торговля;неполное высшее;2;медицинские услуги;3.0;30000.0;служащий / специалист
50;5a193e1d-e279-46d9-8e3f-0c654da2c706;54;1;1;0;4000.0;торговля;неполное высшее;2;медицинские услуги;3.0;30000.0;служащий / специалист
53;e17752dc-0950-4dfe-a8af-d9aa30b54439;55;1;1;0;3000.0;торговля;неполное высшее;2;медицинские услуги;3.0;30000.0;служащий / специалист
56;636e3daf-6c91-4553-b428-a771fb71c72a;55;1;1;0;6000.0;;неполное высшее;1;ремонт дома или автомобиля;0.0;50000.0;
59;953a2836-fbff-4758-9612-6fd3cf16dc84;55;1;1;0;6000.0;транспорт;среднее;1;другое;0.0;25000.0;водитель
60;adc23c19-d21b-4bb5-ad2b-6faccae5a045;54;1;1;0;6000.0;сервис и услуги;среднее специальное;2;непредвиденные расходы;0.0;35000.0;служащий / специалист
63;a1ea84ed-efad-4dbf-b2c5-2f78d5265327;54;1;1;0;5000.0;;среднее специальное;2;медицинские услуги;0.0;35000.0;
72;58c07d52-a219-4e0e-b04b-2437b5c10046;55;1;1;0;6000.0;строительство и недвижимость;среднее специальное;1;непредвиденные расходы;0.0;60000.0;рабочий
74;43eede98-d974-4f3d-a90a-d5e7f99ed6da;55;1;1;0;6000.0;торговля;среднее;1;непредвиденные расходы;0.0;40000.0;служащий / специалист
77;0cae62f8-942f-4f93-a8a9-96cb048ed40c;55;1;1;0;6000.0;торговля;неполное высшее;2;медицинские услуги;4.0;69000.0;начальник / руководитель
78;351de853-00dc-4b77-9a73-c4a14eff409a;53;1;1;0;6000.0;строительство и недвижимость;среднее специальное;1;подарки;0.0;30000.0;рабочий
84;e4060f6f-3fd7-4cbf-81a7-0fa35e641b9e;55;1;1;0;3000.0;сервис и услуги;среднее специальное;1;покупка бытовой техники и электроники;4.0;40000.0;служащий / специалист
85;77db8018-3122-448d-a8a1-bd399e99d071;55;1;1;0;5000.0;сервис и услуги;среднее специальное;1;покупка бытовой техники и электроники;4.0;40000.0;служащий / специалист
86;1950d256-52b6-4698-9d7e-8b4f53bf66b5;55;1;1;0;3000.0;сервис и услуги;среднее специальное;1;покупка бытовой техники и электроники;4.0;40000.0;служащий / специалист
87;08570020-370e-40e1-bf19-559cf11a0642;55;1;1;0;3000.0;сервис и услуги;среднее специальное;1;покупка бытовой техники и электроники;4.0;40000.0;служащий / специалист
88;e2896a70-9c85-4b2e-a73e-5ebe688dcc6f;55;1;1;0;4000.0;сервис и услуги;среднее специальное;1;покупка бытовой техники и электроники;4.0;40000.0;служащий / специалист
89;bcdbd0a9-80d3-4c97-b467-4c39cdfa255d;55;1;1;0;6000.0;;среднее специальное;2;непредвиденные расходы;4.0;35000.0;
95;8be8a9dc-8c74-4087-befa-83d6234f0d72;55;1;1;0;6000.0;торговля;среднее специальное;2;непредвиденные расходы;4.0;30000.0;служащий / специалист
96;0d7e2ff0-fc77-48e9-831d-d6af8ca51596;55;1;1;0;3000.0;торговля;среднее специальное;2;непредвиденные расходы;4.0;30000.0;служащий / специалист
97;92d04954-8cee-4fb2-87b6-1022a4e5ede0;55;1;1;0;6000.0;охранная деятельность;среднее специальное;1;ремонт дома или автомобиля;0.0;75000.0;служащий / специалист
99;c52d1c84-de23-4613-88da-ddb449332965;55;1;1;0;3000.0;сервис и услуги;среднее специальное;1;бизнес;0.0;27000.0;рабочий
109;c0d96a16-04a1-426b-9412-32475fa86524;48;0;1;0;6000.0;другое;высшее;1;другое;1.0;37000.0;руководитель компании
110;76838ac6-c0bb-4baa-84bf-a9aec9370438;55;1;1;0;6600.0;другое;высшее;1;другое;1.0;37000.0;руководитель компании
115;1c6bd68e-a03e-4ef0-89f2-4e10acb1b727;55;1;1;0;3000.0;торговля;высшее;2;непредвиденные расходы;1.0;50000.0;руководитель компании
116;47921ff0-5539-4fbd-a219-0757b468bf3f;55;1;1;0;5000.0;торговля;высшее;2;непредвиденные расходы;1.0;50000.0;руководитель компании
117;3f916824-a126-4e2d-9dc7-4f38b6a96e46;55;1;1;0;3000.0;торговля;высшее;2;непредвиденные расходы;1.0;50000.0;руководитель компании
118;82fb3ea5-8514-484c-b62e-33e3d96ca080;55;1;1;0;4000.0;торговля;высшее;2;непредвиденные расходы;1.0;50000.0;руководитель компании
119;78265c8a-f5ba-4cd6-8f72-9be478550300;55;1;1;0;5000.0;торговля;высшее;2;непредвиденные расходы;1.0;50000.0;руководитель компании
120;2ae4b229-6087-4609-9057-9e1184406b77;54;1;1;0;5000.0;торговля;высшее;2;непредвиденные расходы;1.0;50000.0;руководитель компании
121;e3fe362b-9e5b-4d4d-84dc-b68976238aa9;55;1;1;0;3000.0;торговля;высшее;2;непредвиденные расходы;1.0;50000.0;руководитель компании
122;8961041f-5b82-49f4-98c3-b0d0ba3e4ed2;55;1;1;0;6000.0;торговля;высшее;2;непредвиденные расходы;1.0;50000.0;руководитель компании
124;68c2150b-fe13-4638-9927-66791ba794de;55;1;1;0;3000.0;промышленность;среднее специальное;1;непредвиденные расходы;1.0;25000.0;рабочий
125;0ce9b3c0-8b3f-4227-858c-444a51cbf658;55;1;1;0;6600.0;медицина;среднее специальное;2;непредвиденные расходы;3.0;23000.0;медсестра/медбрат
132;4cc1c988-66c7-4d71-9e6e-175006fb8404;55;1;1;0;5000.0;армия;среднее специальное;1;непредвиденные расходы;1.0;40000.0;рядовой
133;f5e03485-84fa-4752-a182-4449277bd175;55;1;1;0;6000.0;армия;среднее специальное;1;непредвиденные расходы;1.0;40000.0;рядовой
136;c0262263-c746-40f5-a85e-ccb98a053ba2;54;1;1;0;6000.0;армия;среднее специальное;1;непредвиденные расходы;3.0;67000.0;другое
151;e8525b6f-9a13-4a4f-b73b-0116da4facef;54;1;1;0;6000.0;строительство и недвижимость;высшее;1;ремонт дома или автомобиля;1.0;95000.0;служащий / специалист
152;fb6e5083-7bb8-44ca-ba88-9955ce23d21a;54;1;1;0;6000.0;торговля;среднее специальное;2;медицинские услуги;1.0;70000.0;служащий / специалист
156;d548cb58-8006-47be-b303-0b61f85a4454;54;1;1;0;3000.0;армия;неполное среднее;1;непредвиденные расходы;0.0;40000.0;рядовой
157;c76bacda-2180-4fc7-abbd-bdb0f7149ffa;55;1;1;0;3000.0;армия;неполное среднее;1;непредвиденные расходы;0.0;40000.0;рядовой
165;ec744c90-79ab-48b1-87b2-93abf6b36fcd;53;1;1;0;5000.0;строительство и недвижимость;среднее специальное;1;ремонт дома или автомобиля;0.0;15000.0;служащий / специалист
168;9f435c5b-fe47-424a-b64e-cd96c2c218ab;55;1;1;0;6500.0;строительство и недвижимость;неполное высшее;2;образование;1.0;85000.0;служащий / специалист
179;b9d79c4f-c141-4bd4-ae84-1f04083f094f;55;1;1;0;6600.0;торговля;неполное высшее;2;другое;1.0;28000.0;начальник / руководитель
