,0,1,2
0,Praha 4-Libus,4369,Praha
1,Plzen-Slovany,3972,Plzeň
2,Plzen-stred,4380,Plzeň
3,Studenka,4444,Studénka
4,Stralsund-Knieperdamm,4705,Stralsund
5,Berlin Frankfurter Allee,4767,Berlin
6,Rostock-Holbeinplatz,4686,Rostock
7,Mainz-Zitadelle,3053,Mainz
8,Bremerhaven-Hansastraße,4713,Bremerhaven
9,Esch/Alzette,9650,Air Quality Luxembourg
10,Luxembourg Bonnevoie,9651,Air Quality Luxembourg
11,Gazi Baba,2919,None
12,Karpos,2977,None
13,Kocani,2988,None
14,Veles 2 Gradinka,3000,None
15,Kumanovo,2918,None
16,Bitola 1 UHMR,2995,None
17,Bitola 2 Strezevo,2972,None
18,Lisice,2976,None
19,Miladinovci,2978,None
20,Kavadarci,2987,None
21,Barcelona,3291,Barcelona
22,Girona,3309,Girona
23,Vilanova i la Geltrú,3233,Vilanova i la Geltrú
24,SAMA I,4064,LANGREO
25,CALETILLA,7874,CANDELARIA
26,MERCADO CENTRAL,8173,PALMAS DE GRAN CANARIA (LAS)
27,VALÈNCIA-PISTA DE SILLA,3259,VALENCIA
28,PALENCIA 3,3356,PALENCIA
29,CÁCERES,3232,CÁCERES
30,ONTINYENT,4325,ONTINYENT
31,Graz Süd Tiergartenweg,3427,8020 Graz
32,Cabauw-Wielsekade,2371,Cabauw
33,IJmuiden-Kanaaldijk,97,IJmuiden
34,Wijk aan Zee-Burgemeester Rothestraat,96,Wijk aan Zee
35,Escaldes-Engordany,9742,Escaldes-Engordany
36,Chilliwack,1848,BRITISH COLUMBIA
37,San Bernabé,578,Monterrey
38,Cruz roja,2099,Salamanca
39,Juárez,427,Juárez
40,Gharb Station,5577,Gharb
41,MT00005,5503,Msida
